,date,calls
1000,2018-12-27,8316
1001,2018-12-28,8652
1002,2018-12-29,6006
1003,2018-12-30,6120
1004,2018-12-31,6318
1005,2019-01-01,8382
1006,2019-01-02,9672
1007,2019-01-03,7404
1008,2019-01-04,9240
1009,2019-01-05,7746
1010,2019-01-06,7266
1011,2019-01-07,6798
1012,2019-01-08,8952
1013,2019-01-09,8934
1014,2019-01-10,8454
1015,2019-01-11,8544
1016,2019-01-12,7824
1017,2019-01-13,7002
1018,2019-01-14,8118
1019,2019-01-15,7152
1020,2019-01-16,9240
1021,2019-01-17,7332
1022,2019-01-18,7254
1023,2019-01-19,8166
1024,2019-01-20,7440
1025,2019-01-21,8430
1026,2019-01-22,8196
1027,2019-01-23,8850
1028,2019-01-24,6258
1029,2019-01-25,7284
1030,2019-01-26,5760
1031,2019-01-27,7512
1032,2019-01-28,8994
1033,2019-01-29,8532
1034,2019-01-30,6354
1035,2019-01-31,6276
1036,2019-02-01,8292
1037,2019-02-02,7512
1038,2019-02-03,9012
1039,2019-02-04,10710
1040,2019-02-05,9204
1041,2019-02-06,8994
1042,2019-02-07,9984
1043,2019-02-08,8226
1044,2019-02-09,6924
1045,2019-02-10,7566
1046,2019-02-11,7656
1047,2019-02-12,8508
1048,2019-02-13,7302
1049,2019-02-14,7086
1050,2019-02-15,7002
1051,2019-02-16,9036
1052,2019-02-17,6126
1053,2019-02-18,7764
1054,2019-02-19,7638
1055,2019-02-20,6972
1056,2019-02-21,9480
1057,2019-02-22,9318
1058,2019-02-23,9042
1059,2019-02-24,6384
1060,2019-02-25,9324
1061,2019-02-26,8568
1062,2019-02-27,9522
1063,2019-02-28,6762
1064,2019-03-01,10608
1065,2019-03-02,10620
1066,2019-03-03,10026
1067,2019-03-04,9906
1068,2019-03-05,9312
1069,2019-03-06,8112
1070,2019-03-07,9684
1071,2019-03-08,9018
1072,2019-03-09,8826
1073,2019-03-10,7254
1074,2019-03-11,8394
1075,2019-03-12,9348
1076,2019-03-13,10536
1077,2019-03-14,9120
1078,2019-03-15,7944
1079,2019-03-16,9906
1080,2019-03-17,8616
1081,2019-03-18,7608
1082,2019-03-19,9768
1083,2019-03-20,10080
1084,2019-03-21,9660
1085,2019-03-22,8742
1086,2019-03-23,7386
1087,2019-03-24,9294
1088,2019-03-25,8724
1089,2019-03-26,10008
1090,2019-03-27,7446
1091,2019-03-28,9996
1092,2019-03-29,8076
1093,2019-03-30,7356
1094,2019-03-31,7134
1095,2019-04-01,11850
1096,2019-04-02,10920
1097,2019-04-03,11328
1098,2019-04-04,10260
1099,2019-04-05,9444
1100,2019-04-06,9900
1101,2019-04-07,8034
1102,2019-04-08,9786
1103,2019-04-09,10050
1104,2019-04-10,10638
1105,2019-04-11,9036
1106,2019-04-12,8256
1107,2019-04-13,9264
1108,2019-04-14,7188
1109,2019-04-15,10746
1110,2019-04-16,8286
1111,2019-04-17,9072
1112,2019-04-18,9522
1113,2019-04-19,9312
1114,2019-04-20,10008
1115,2019-04-21,9588
1116,2019-04-22,8058
1117,2019-04-23,10218
1118,2019-04-24,10692
1119,2019-04-25,8862
1120,2019-04-26,8532
1121,2019-04-27,8670
1122,2019-04-28,7314
1123,2019-04-29,9192
1124,2019-04-30,10296
1125,2019-05-01,10494
1126,2019-05-02,9606
1127,2019-05-03,11742
1128,2019-05-04,11334
1129,2019-05-05,10044
1130,2019-05-06,10464
1131,2019-05-07,10944
1132,2019-05-08,10368
1133,2019-05-09,9648
1134,2019-05-10,10638
1135,2019-05-11,8454
1136,2019-05-12,8040
1137,2019-05-13,10698
1138,2019-05-14,9480
1139,2019-05-15,9528
1140,2019-05-16,10866
1141,2019-05-17,8790
1142,2019-05-18,10524
1143,2019-05-19,8316
1144,2019-05-20,9102
1145,2019-05-21,8664
1146,2019-05-22,9480
1147,2019-05-23,8544
1148,2019-05-24,8814
1149,2019-05-25,9846
1150,2019-05-26,9882
